event_id,start_time,end_time,condition_story_id,condition_chara_id,condition_main_quest_id,condition_shiori_quest_id,original_event_id,original_start_time,gojuon_order,help_index
20001,"2020/03/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10001,"2018/03/31 15:00:00",5001,1
20002,"2020/04/15 15:00:00","2030/04/19 15:00:00",0,0,0,0,10002,"2018/04/30 15:00:00",8181,1
20003,"2020/05/15 15:00:00","2030/04/19 15:00:00",0,0,0,0,10003,"2018/05/25 16:00:00",201,1
20004,"2020/06/19 15:00:00","2030/04/19 15:00:00",0,0,0,0,10004,"2018/06/30 12:00:00",3394,"1,2"
20005,"2020/07/20 15:00:00","2030/04/19 15:00:00",0,0,0,0,10005,"2018/07/31 12:00:00",3060,"1,4"
20006,"2020/08/19 15:00:00","2030/04/19 15:00:00",0,0,0,0,10006,"2018/08/31 12:00:00",1412,1
20007,"2020/09/23 15:00:00","2030/04/19 15:00:00",0,0,0,0,10007,"2018/09/30 12:00:00",3481,"1,5"
20008,"2020/10/19 15:00:00","2030/04/19 15:00:00",0,0,0,0,10008,"2018/10/31 12:00:00",3490,1
20009,"2020/11/24 15:00:00","2030/04/19 15:00:00",0,0,0,0,10009,"2018/11/30 12:00:00",5402,"1,6"
20010,"2020/12/22 15:00:00","2030/04/19 15:00:00",0,0,0,0,10010,"2018/12/31 12:00:00",2192,"1,7"
20011,"2021/01/25 15:00:00","2030/04/19 15:00:00",0,0,0,0,10011,"2019/01/31 12:00:00",5034,"1,8"
20012,"2021/02/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10012,"2019/02/22 15:00:00",402,1
20013,"2021/03/23 15:00:00","2030/04/19 15:00:00",0,0,0,0,10013,"2019/03/31 15:00:00",22,"1,9"
20014,"2021/04/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10015,"2019/04/30 12:00:00",2174,1
20015,"2021/05/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10019,"2019/06/30 15:00:00",2222,"1,10"
20016,"2021/06/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10021,"2019/07/31 12:00:00",6040,"1,11"
20017,"2021/07/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10023,"2019/08/31 12:00:00",6481,1
20018,"2021/08/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10025,"2019/09/30 12:00:00",8152,"1,12"
20019,"2021/09/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10027,"2019/10/31 12:00:00",3420,1
20020,"2021/10/19 15:00:00","2030/04/19 15:00:00",0,0,0,0,10029,"2019/11/30 12:00:00",5283,"1,13"
20021,"2021/11/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10031,"2019/12/31 12:00:00",1311,"1,14"
20022,"2021/12/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10033,"2020/01/31 12:00:00",6054,"1,15"
20023,"2022/01/17 15:00:00","2030/04/19 15:00:00",0,0,0,0,10038,"2020/03/31 12:00:00",2022,1
20024,"2022/02/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10040,"2020/04/24 15:00:00",6011,1
20025,"2022/03/17 15:00:00","2030/04/19 15:00:00",0,0,0,0,10042,"2020/05/25 15:00:00",5221,"1,16"
20026,"2022/04/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10044,"2020/06/30 12:00:00",3040,"1,17"
20027,"2022/05/18 15:00:00","2030/04/19 15:00:00",0,0,0,0,10046,"2020/07/31 12:00:00",6120,"1,18"
20028,"2022/06/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10048,"2020/08/31 12:00:00",5032,1
20029,"2022/07/19 8:00:00","2030/04/19 15:00:00",0,0,0,0,10050,"2020/09/30 12:00:00",5151,"1,19"
20030,"2022/08/16 15:00:00","2030/04/19 15:00:00",0,0,0,0,10052,"2020/10/31 12:00:00",6055,1
